Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,HOV,0,0,0,0,99380000.0,1840000000.0,,,,0.05,,0.86,27.4,-2.09,1.61,1.15,,2020000000.0,337.95,16.1,267190000.0,36650000.0,-42120000.0,-7.06,,130979999.99999999,21.38,1700000000.0,,7.83,-101.69,-249130000.0,-277370000.0,1.56,12.2,18.66,5510000.0,5510000.0,4800000.0,13.66,32.34,3.85,3.85,15.3,
0,0,VLO,0,0,0,0,27800000000.0,37750000000.0,71.03,,,0.26,1.48,0.36,10.34,2.23,3.33,4.18,11.12,103680000000.0,249.09,-12.4,6530000000.0,5650000000.0,2310000000.0,5.54,-28.9,2140000000.0000002,5.2,10870000000.0,50.38,1.4,51.38,5500000000.0,2400000000.0,1.46,60.75,72.84,6440000.0,407700000.0,409000000.0,0.35,80.83,10100000.0,1.89,2.48,8600000.0
0,0,D,0,0,0,0,,,,,,,,,,6.4,25.06,2.67,4.08,15460000000.0,20.15,23.7,7970000000.0,6680000000.0,982000000.0,1.25,14.2,380000000.0,0.46,42180000000.0,140.8,0.51,33.65,4770000000.0,449750000.0,0.27,79.63,80.79,4340000.0,839250000.0,820340000.0,0.28,72.79,13870000.0,3.97,1.66,11850000.0
0,0,QCOM,0,0,0,0,95200000000.0,101200000000.0,25.04,15.11,0.73,4.06,31.27,4.09,10.48,18.07,33.29,15.38,153.46,24270000000.0,20.06,-16.7,15670000000.0,9480000000.0,4390000000.0,3.59,,12260000000.0,10.74,15960000000.0,325.14,1.88,4.29,7290000000.0,3060000000.0,1.64,77.96,81.17,11520000.0,1120000000.0,1140000000.0,0.12,79.91,14700000.0,1.54,1.31,15020000.0
0,0,LTD,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,FSLR,0,0,0,0,5240000000.0,4340000000.0,123.75,19.23,0.85,1.71,1.01,1.42,23.24,-0.14,-1.4,-0.29,-0.07,2350000000.0,22.39,-19.1,549210000.0,158600000.0,-3410000.0,-0.04,-47.0,1540000000.0,14.61,642950000.0,12.41,4.0,49.17,-792990000.0,-949670000.0,1.07,43.18,47.46,1550000.0,105910000.0,75880000.0,28.37,66.94,10900000.0,7.78,13.15,11110000.0
0,0,SAI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,HAL,0,0,0,0,11470000000.0,20940000000.0,,144.93,11.32,0.53,1.68,0.96,8.31,5.12,8.81,4.85,12.71,23150000000.0,26.51,-10.1,2290000000.0,3710000000.0,1190000000.0,1.36,-32.2,1570000000.0,1.79,11440000000.0,117.22,2.39,11.12,2130000000.0,375120000.0,1.55,10.18,16.09,33680000.0,877280000.0,874430000.0,0.35,83.29,50680000.0,1.68,6.51,45500000.0
0,0,BDX,0,0,0,0,,,,,,,,,,7.13,16.89,3.45,5.86,17290000000.0,64.05,4.1,8289999999.999999,5170000000.0,1080000000.0,3.94,,566000000.0,2.09,19390000000.0,91.98,1.18,77.95,3330000000.0,2870000000.0,1.09,254.78,254.47,2450000.0,294880000.0,269670000.0,0.17,89.53,2240000.0,1.39,0.89,6240000.0
0,0,AZO,0,0,0,0,,,,,,,,,,13.45,18.55,12.53,,12020000000.0,489.86,5.7,6370000000.0,2610000000.0,1620000000.0,64.39,-0.3,210450000.0,8.92,8220000000.000001,,0.88,-75.08,2130000000.0,1170000000.0,0.6,1058.38,1067.95,23350000.0,23350000.0,23250000.0,0.41,96.51,1.74,1.74,1.91,
